   Vol_A   Vol_B
   0.01   0.98
   0.06   0.92
   0.02   1.02
   0.04   0.97
   0.22   0.80
   0.57   0.42
   0.90   0.08
   0.96   0.08
   0.94   0.09
   0.89   0.05
   1.02   0.03
   0.97   0.06
   0.73   0.18
   0.39   0.62
   0.14   0.81
   0.19   0.82
   0.56   0.37
   0.89   0.11
   0.35   0.68
   0.07   0.95
   0.00   0.94
   0.06   0.89
   0.14   0.90
   0.20   0.77
   0.68   0.36
   0.82   0.14
   0.80   0.21
   0.33   0.64
   0.20   0.92
   0.68   0.32
   0.93   0.04
   0.89   0.11
   0.66   0.34
   0.42   0.63
   0.18   0.77
   0.21   0.73
   0.48   0.49
   0.79   0.17
   0.55   0.41
   0.07   0.99
   0.05   0.88
   0.51   0.48
   0.73   0.29
   0.61   0.39
   0.70   0.29
   0.54   0.39
   0.37   0.64
   0.02   0.90
   0.10   0.94
   0.55   0.54
   0.64   0.32
   0.96   0.05
   0.82   0.12
   0.44   0.56
   0.35   0.70
   0.67   0.38
   0.68   0.25
   0.72   0.21
   0.47   0.60
   0.02   0.89
   0.65   0.32
   1.00   0.03
   1.01   0.04
   0.79   0.19
   0.41   0.60
   0.34   0.70
   0.17   0.78
   0.19   0.81
   0.16   0.85
   0.15   0.92
   0.37   0.64
   0.95   0.06
   0.87   0.06
   0.76   0.17
   0.78   0.18
   0.68   0.23
   0.36   0.57
   0.47   0.61
   0.36   0.59
   0.34   0.64
   0.97   0.02
   0.90   0.04
   0.72   0.21
   0.75   0.19
   0.67   0.35
   0.68   0.25
   0.81   0.14
   0.54   0.42
   0.29   0.72
   0.19   0.83
   0.27   0.75
   0.90   0.08
   1.00   0.06
   1.10   0.00
   1.01   0.01
   0.95   0.03
   0.19   0.83
   0.09   0.95
   0.22   0.71
   0.50   0.43
   0.99   0.01
   0.75   0.17
   0.46   0.48
   0.40   0.57
   0.60   0.40
   0.77   0.23
   1.01   0.02
   0.90   0.08
   0.59   0.42
   0.36   0.64
   0.56   0.46
   0.87   0.09
   1.01   0.04
   0.96   0.10
   0.91   0.05
   0.58   0.38
   0.11   0.90
   0.06   0.96
   0.21   0.77
   0.71   0.25
   0.73   0.30
   0.28   0.77
   0.19   0.81
   0.53   0.46
   0.70   0.35
   0.75   0.25
   0.95   0.04
   0.83   0.14
   0.59   0.41
   0.52   0.52
   0.74   0.30
   1.02   0.00
   0.94   0.05
   0.80   0.21
   0.82   0.18
   0.16   0.86
   0.03   1.01
   0.19   0.76
   0.76   0.25
   0.88   0.17
   0.21   0.83
   0.11   0.92
   0.24   0.80
   0.76   0.32
   0.99   0.02
   0.95   0.02
   1.04   0.03
   0.67   0.36
   0.15   0.91
   0.24   0.77
   0.50   0.41
   0.94   0.11
   0.78   0.21
   0.74   0.29
   0.68   0.32
   0.27   0.76
   0.00   0.91
   0.23   0.79
   0.80   0.17
   0.52   0.47
   0.45   0.59
   0.37   0.72
   0.70   0.42
   0.91   0.08
   1.00   0.10
   0.81   0.19
   0.91   0.14
   0.60   0.45
   0.03   0.98
   0.04   0.96
   0.10   0.86
   0.44   0.50
   0.20   0.78
   0.21   0.75
   0.54   0.49
   0.15   0.81
   0.32   0.62
   0.30   0.67
   0.37   0.59
   0.51   0.47
   0.86   0.14
   0.82   0.24
   0.85   0.23
   0.92   0.06
   0.71   0.27
   0.42   0.63
   0.20   0.66
   0.01   1.01
   0.00   0.98
   0.00   0.88
   0.00   1.06
   0.02   1.07
   0.05   0.96
   0.09   0.88
   0.26   0.67
   0.04   1.02
   0.11   0.87
   0.22   0.66
   0.40   0.62
   0.75   0.19
   0.94   0.02
   1.06   0.01
   0.92   0.03
   0.98   0.01
   0.61   0.24
   0.28   0.79
   0.03   0.97
   0.00   1.14
   0.00   1.06
   0.00   1.04
   0.00   0.97
   0.00   1.03
   0.00   1.04
   0.00   1.04
   0.01   1.03
   0.02   1.00
   0.14   0.69
   0.21   0.79
   0.39   0.60
   0.84   0.13
   1.05   0.01
   1.04   0.03
   1.05   0.02
   1.04   0.00
   0.89   0.07
   0.40   0.56
   0.08   0.89
   0.06   0.94
   0.06   0.95
   0.00   1.00
   0.00   0.99
   0.02   0.99
   0.03   1.04
   0.00   0.98
   0.01   1.07
   0.17   0.82
   0.53   0.43
   0.67   0.35
   0.63   0.35
   0.85   0.10
   1.03   0.00
   0.79   0.18
   0.91   0.16
   1.10   0.02
   0.93   0.13
   0.39   0.73
   0.11   0.98
   0.26   0.70
   0.35   0.75
   0.06   1.02
   0.08   0.86
   0.02   1.01
   0.02   1.02
   0.03   0.97
   0.06   0.95
   0.39   0.65
   0.51   0.48
   0.39   0.58
   0.92   0.17
   1.00   0.01
   0.95   0.00
   1.03   0.04
   0.84   0.22
   1.00   0.05
   0.81   0.15
   0.60   0.34
   0.36   0.58
   0.37   0.60
   0.65   0.27
   0.66   0.39
   0.41   0.65
   0.03   1.01
   0.00   1.05
   0.02   0.98
   0.21   0.79
   0.75   0.26
   0.77   0.24
   0.62   0.38
   1.02   0.07
   1.06   0.00
   0.94   0.00
   1.01   0.00
   0.92   0.09
   0.92   0.02
   0.84   0.19
   0.62   0.38
   0.48   0.54
   0.74   0.25
   0.78   0.16
   0.82   0.18
   0.61   0.39
   0.03   0.94
   0.00   1.01
   0.11   0.95
   0.67   0.34
   0.86   0.12
   0.99   0.07
   0.81   0.15
   1.03   0.00
   1.04   0.00
   0.82   0.09
   0.97   0.01
   0.98   0.00
   1.04   0.00
   0.95   0.02
   0.69   0.37
   0.48   0.45
   0.46   0.55
   0.20   0.82
   0.36   0.59
   0.13   0.93
   0.02   0.92
   0.20   0.78
   0.57   0.41
   0.78   0.16
   0.97   0.01
   0.82   0.17
   0.79   0.28
   0.98   0.00
   1.09   0.00
   0.84   0.14
   0.97   0.02
   1.01   0.00
   1.09   0.00
   0.98   0.00
   0.93   0.10
   0.89   0.18
   0.58   0.35
