   Vol_A   Vol_B
   0.80   0.16
   1.01   0.01
   1.07   0.00
   0.96   0.03
   0.96   0.04
   1.05   0.00
   0.97   0.00
   1.03   0.00
   1.00   0.00
   0.97   0.00
   0.65   0.34
   0.45   0.50
   0.83   0.28
   0.54   0.42
   0.14   0.89
   0.06   0.92
   0.82   0.18
   1.01   0.06
   0.14   0.81
   0.18   0.82
   0.78   0.21
   0.99   0.02
   0.88   0.08
   0.16   0.82
   0.19   0.75
   0.86   0.10
   0.95   0.03
   0.93   0.04
   0.96   0.02
   0.87   0.15
   0.23   0.72
   0.39   0.55
   0.86   0.13
   0.94   0.08
   0.32   0.67
   0.15   0.93
   0.89   0.11
   0.59   0.34
   0.11   0.92
   0.10   0.92
   0.30   0.74
   0.87   0.17
   0.93   0.08
   0.18   0.90
   0.03   0.99
   0.13   0.90
   0.09   0.93
   0.09   0.93
   0.52   0.50
   0.44   0.54
   0.16   0.90
   0.13   0.95
   0.41   0.60
   0.89   0.03
   1.05   0.01
   0.94   0.11
   0.84   0.17
   0.11   0.91
   0.00   1.06
   0.01   0.98
   0.01   1.04
   0.19   0.78
   0.95   0.06
   0.81   0.20
   0.07   1.00
   0.01   1.05
   0.08   0.90
   0.05   1.02
   0.11   0.92
   0.07   0.96
   0.12   0.90
   0.03   0.95
   0.08   0.96
   0.92   0.09
   1.06   0.00
   0.97   0.03
   0.87   0.14
   0.67   0.32
   0.15   0.92
   0.00   0.94
   0.01   1.03
   0.32   0.67
   0.95   0.06
   0.94   0.02
   0.54   0.48
   0.59   0.49
   0.78   0.26
   0.29   0.72
   0.14   0.89
   0.24   0.81
   0.33   0.64
   0.05   0.97
   0.18   0.84
   0.98   0.06
   0.97   0.00
   0.97   0.00
   0.96   0.04
   0.79   0.17
   0.21   0.76
   0.01   1.00
   0.43   0.56
   1.02   0.05
   0.98   0.00
   1.07   0.00
   0.99   0.03
   0.94   0.04
   0.93   0.02
   0.35   0.57
   0.13   0.91
   0.75   0.21
   0.88   0.06
   0.12   0.86
