   Vol_A   Vol_B
   0.12   0.89
   0.20   0.78
   0.35   0.67
   0.54   0.44
   0.20   0.81
   0.26   0.70
   0.13   0.88
   0.29   0.72
   0.46   0.53
   0.56   0.43
   0.24   0.75
   0.19   0.79
   0.80   0.14
   1.00   0.00
   1.04   0.00
   1.01   0.01
   1.01   0.03
   1.00   0.02
   0.87   0.14
   0.43   0.56
   0.11   0.90
   0.67   0.27
   0.98   0.06
   0.98   0.02
   0.83   0.17
   0.87   0.12
   0.87   0.15
   0.83   0.18
   0.91   0.04
   0.90   0.12
   0.65   0.34
   0.26   0.74
   0.38   0.64
   0.97   0.02
   1.01   0.00
   1.03   0.00
   1.03   0.01
   0.92   0.07
   0.63   0.36
   0.10   0.86
   0.27   0.73
   0.87   0.13
   1.03   0.00
   0.97   0.01
   0.97   0.03
   1.00   0.00
   1.00   0.00
   1.01   0.01
   1.03   0.00
   1.00   0.00
   0.88   0.11
   0.28   0.75
   0.34   0.65
   0.94   0.05
   0.99   0.00
   0.98   0.00
   0.95   0.03
   0.33   0.69
   0.05   0.94
   0.01   0.98
   0.56   0.46
   0.92   0.08
   0.98   0.00
   0.97   0.00
   0.96   0.04
   1.02   0.00
   1.01   0.00
   0.98   0.00
   0.98   0.00
   0.98   0.00
   0.97   0.04
   0.45   0.59
   0.64   0.34
   0.97   0.03
   0.99   0.00
   1.01   0.00
   0.94   0.03
   0.41   0.55
   0.03   1.00
   0.06   0.95
   0.91   0.08
   1.00   0.00
   1.00   0.00
   1.04   0.00
   1.02   0.00
   1.01   0.00
   1.04   0.00
   1.02   0.00
   1.05   0.00
   0.96   0.00
   1.00   0.00
   0.85   0.19
   0.91   0.14
   0.95   0.04
   1.00   0.00
   0.99   0.00
   1.02   0.00
   0.91   0.07
   0.13   0.86
   0.12   0.87
   0.84   0.16
   1.02   0.00
   0.96   0.00
   1.03   0.00
   1.03   0.00
   1.02   0.00
   1.00   0.00
   0.98   0.00
   0.99   0.00
   1.01   0.01
   0.95   0.06
   0.69   0.29
   0.69   0.31
