   Vol_A   Vol_B
   0.31   0.68
   0.04   0.86
   0.03   0.93
   0.10   1.01
   0.46   0.48
   0.43   0.58
   0.34   0.73
   0.59   0.47
   0.19   0.80
   0.01   1.00
   0.01   1.00
   0.03   1.04
   0.50   0.48
   0.79   0.24
   1.01   0.00
   0.85   0.19
   0.69   0.40
   0.53   0.55
   0.30   0.68
   0.45   0.51
   0.47   0.54
   0.24   0.82
   0.24   0.72
   0.09   0.86
   0.15   0.93
   0.45   0.53
   0.65   0.44
   0.66   0.36
   0.31   0.67
   0.07   0.83
   0.06   0.98
   0.03   0.99
   0.20   0.81
   0.67   0.39
   0.72   0.28
   0.91   0.17
   1.01   0.03
   0.80   0.18
   0.54   0.37
   0.85   0.12
   0.94   0.08
   0.80   0.14
   0.50   0.51
   0.23   0.74
   0.37   0.65
   0.72   0.28
   0.91   0.05
   0.75   0.16
   0.42   0.66
   0.15   0.89
   0.07   0.84
   0.02   0.92
   0.13   0.83
   0.73   0.24
   0.74   0.24
   0.67   0.32
   0.84   0.19
   0.98   0.03
   0.72   0.15
   0.95   0.07
   0.86   0.13
   0.76   0.21
   0.26   0.74
   0.39   0.61
   0.66   0.30
   0.95   0.10
   0.99   0.03
   0.91   0.17
   0.66   0.34
   0.21   0.85
   0.00   1.01
   0.03   0.97
   0.45   0.55
   0.83   0.24
   0.65   0.34
   0.46   0.59
   0.82   0.24
   0.80   0.18
   0.55   0.48
   0.53   0.53
   0.60   0.39
   0.38   0.48
   0.09   0.93
   0.12   0.84
   0.40   0.57
   0.57   0.42
   0.78   0.23
   0.74   0.22
   0.78   0.19
   0.37   0.64
   0.09   0.80
   0.14   0.88
   0.47   0.43
   0.71   0.25
   0.51   0.42
   0.66   0.34
   0.84   0.19
   0.64   0.29
   0.58   0.38
   0.35   0.64
   0.37   0.60
   0.22   0.75
   0.08   0.88
   0.16   0.92
   0.29   0.62
   0.41   0.59
   0.72   0.25
   0.71   0.31
   0.78   0.24
   0.68   0.31
   0.53   0.38
   0.18   0.78
   0.35   0.62
   0.48   0.48
   0.71   0.30
   0.85   0.22
   0.87   0.11
   0.39   0.62
   0.16   0.81
   0.40   0.62
   0.60   0.37
   0.25   0.73
   0.30   0.63
   0.20   0.79
   0.14   0.85
   0.31   0.72
   0.86   0.16
   1.03   0.01
   0.96   0.07
   0.94   0.05
   0.71   0.27
   0.19   0.79
   0.20   0.75
   0.47   0.54
   0.85   0.17
   0.88   0.25
   0.52   0.41
   0.29   0.75
   0.20   0.77
   0.47   0.48
   0.42   0.58
   0.24   0.78
   0.08   0.95
   0.01   0.89
   0.08   0.90
   0.11   0.89
   0.90   0.11
   0.94   0.10
   0.97   0.13
   0.98   0.14
   0.72   0.32
   0.31   0.75
   0.29   0.75
   0.61   0.40
   0.34   0.63
   0.30   0.68
   0.18   0.82
   0.11   0.91
   0.07   0.88
   0.21   0.66
   0.09   0.88
   0.04   0.99
   0.00   0.96
   0.04   0.97
   0.08   0.87
   0.43   0.62
   0.84   0.24
   1.00   0.01
   0.98   0.12
   0.73   0.27
   0.71   0.20
   0.26   0.77
   0.26   0.75
   0.21   0.81
   0.17   0.89
   0.37   0.63
   0.29   0.60
   0.08   0.93
   0.04   0.94
   0.04   0.95
   0.06   0.95
   0.00   0.92
   0.00   1.06
   0.11   0.86
   0.39   0.61
   0.97   0.10
   0.83   0.20
   0.98   0.00
   0.88   0.20
   0.65   0.35
   0.83   0.30
   0.54   0.45
   0.62   0.29
   0.83   0.19
   0.72   0.27
   0.66   0.26
   0.21   0.77
   0.04   1.04
   0.09   0.97
   0.07   1.00
   0.34   0.69
   0.01   1.06
   0.00   1.05
   0.04   0.96
   0.22   0.76
   0.90   0.12
   0.94   0.08
   0.98   0.00
   0.90   0.13
   0.88   0.16
   0.62   0.34
   0.96   0.16
   0.98   0.02
   1.03   0.04
   1.04   0.04
   0.90   0.14
   0.46   0.58
   0.18   0.86
   0.23   0.71
   0.30   0.68
   0.20   0.81
   0.01   0.99
   0.10   0.91
   0.10   0.77
   0.31   0.71
   0.85   0.34
   0.91   0.20
   0.93   0.07
   0.85   0.09
   0.85   0.03
   1.02   0.05
   0.84   0.11
   0.97   0.10
   1.08   0.00
   0.93   0.11
   0.92   0.07
   0.68   0.28
   0.32   0.76
   0.16   0.74
   0.26   0.75
   0.06   0.92
   0.15   0.82
   0.42   0.57
   0.42   0.54
   0.40   0.66
   0.25   0.73
   0.38   0.68
   0.65   0.37
   0.68   0.37
   0.99   0.03
   0.92   0.00
   0.95   0.01
   0.89   0.01
   1.00   0.00
   0.99   0.01
   0.83   0.12
   0.53   0.48
   0.29   0.62
   0.24   0.76
   0.22   0.81
   0.15   0.87
   0.13   0.94
   0.18   0.83
   0.13   0.82
   0.17   0.78
   0.24   0.85
   0.18   0.80
   0.40   0.54
   0.77   0.29
   0.97   0.04
   1.03   0.00
   0.98   0.00
   0.89   0.09
   0.83   0.09
   1.00   0.05
   0.85   0.18
   0.43   0.55
   0.32   0.65
   0.16   0.85
   0.21   0.85
   0.36   0.70
   0.15   0.81
   0.23   0.82
   0.28   0.77
   0.39   0.61
   0.25   0.76
   0.31   0.75
   0.42   0.63
   0.91   0.11
   1.06   0.01
   0.95   0.00
   0.81   0.12
   0.57   0.46
   0.61   0.48
   0.59   0.48
   0.68   0.33
   0.41   0.54
   0.31   0.62
